question_id,question_ar,reference_answer_ar,source_law,article_number,topic_category,difficulty,notes
Q031,ما هي إجراءات إنهاء عقود العمل أو تعليقها كلها أو بعضها إذا اقتضت ظروف صاحب العمل الاقتصادية أو الفنية ذلك ؟,"1- على وزير العمل تشكيل لجنة من أطراف الإنتاج الثلاثة للتحقق من سلامة إجراءات صاحب العمل وتقديم توصياتها بشأنها إلى الوزير خلال مدة لا تتجاوز خمسة عشر يوماً من تاريخ تقديم التبليغ.
2- يصدر الوزير قراره بشأن التوصية خلال سبعة أيام من تاريخ رفعها بالموافقة على إجراءات صاحب العمل أو إعادة النظر فيها.
3- لأي متضرر من قرار الوزير المذكور آنفاً أن يتقدم خلال عشرة أيام من تاريخ تبليغه القرار بالطعن فيه لدى محكمة الاستئناف المختصة.
4- على محكمة الاستئناف أن تنظر في الطعن تدقيقاً وأن تصدر قرارها فيه في مدة أقصاها شهر من تاريخ تسجيل الطعن في قلم المحكمة.
5- يتمتع العمال الذين أنهيت خدماتهم بالعودة إلى العمل خلال سنة من تاريخ تركهم العمل إذا عاد العمل إلى طبيعته أو أمكن استخدامهم لدى صاحب العمل.
6- يحق للعامل الذي علق عقد عمله أن يترك العمل دون إشعار مع احتفاظه بحقوقه القانونية عن انتهاء الخدمة.
المادة (31) من قانون العمل.",Jordanian Labor Law No. 8 of 1996,31,Termination and Severance,Hard,
Q032,ما هي حالات انتهاء عقد العمل ؟,"1- إذا اتفق الطرفان على إنهائه.
2- إذا انتهت مدة عقد العمل المحدد المدة أو إذا انتهى العمل نفسه.
3- إذا توفي العامل.
4- إذا عجز العامل عن العمل وثبت ذلك بتقرير طبي صادر عن المرجع الطبي.
5- إذا بلغ العامل سن تقاعد الشيخوخة المنصوص عليه في قانون الضمان الاجتماعي إلا إذا اتفق الطرفان على غير ذلك.
6- إذا توفي صاحب العمل إذا كانت شخصيته قد روعيت في العقد.
المادتان (21) و(22) من قانون العمل.",Jordanian Labor Law No. 8 of 1996,26,Termination and Severance,Medium,
Q033,ما هي الحالات التي لا يجوز فيها لصاحب العمل فصل العامل؟,"1- لا يجوز فصل العامل لأسباب تتعلق بالشكاوى والمطالبات التي تقدم بها العامل إلى الجهات المختصة والمتعلقة بتطبيق أحكام قانون العمل عليه، المادة (24) من قانون العمل.
2- المرأة الحامل ابتداء من الشهر السادس من حملها أو خلال إجازة الأمومة، المادة (27/1/1) من قانون العمل.
3- العامل المكلف بخدمة العلم أو الخدمة الاحتياطية أثناء قيامه بتلك الخدمة، المادة (27/1/2) من قانون العمل.
4- العامل أثناء إجازته السنوية أو المرضية أو الإجازة الممنوحة له لأغراض الثقافة العمالية أو الحج أو أثناء إجازة المتفق عليها بين الطرفين للتفرغ للعمل النقابي أو للالتحاق بمعهد أو كلية أو جامعة معترف بها، المادة (27/1/3) من قانون العمل.
5- لا يجوز فصل العامل خلال النظر في النزاع العمالي الجماعي لدى مندوب التوفيق أو مجلس التوفيق أو المحكمة العمالية دون الحصول على إذن كتابي من مندوب التوفيق أو مجلس التوفيق أو المحكمة العمالية حسب مقتضى الحال، المادة (132) من قانون العمل.
6- لا يحق لصاحب العمل فصل العامل بسبب قيامه بممارسة النشاط النقابي، المادة (108) من قانون العمل.",Jordanian Labor Law No. 8 of 1996,24,Termination and Severance,Hard,
Q034,متى يجوز لصاحب العمل إنهاء خدمات العامل في الحالات المذكورة في المادة (27/أ) من قانون العمل ؟,إذا عمل العامل لدى صاحب عمل آخر خلال أي من المدد المنصوص عليها في الفقرة (أ) من المادة (27) من قانون العمل,Jordanian Labor Law No. 8 of 1996,35,Termination and Severance,Easy,
Q035,ما هي الحالات التي يجوز فيها لصاحب العمل حسم مبالغ من أجر العامل ؟,"1- استرداد ما قدمه صاحب العمل من سلف للعامل بحيث لا يزيد كل قسط يتم استرداده من السلفة على (10٪) من الأجر.
2- استرداد أي مبلغ دفع للعامل زيادة على استحقاقه.
3- اشتراكات الضمان الاجتماعي وأقساطه المستحقة على العامل والحسميات الواجب إجراؤها بموجب القوانين الأخرى مثل قانون ضريبة الدخل.
4- اشتراكات العامل في صندوق الادخار.
5- الحسميات الخاصة بتسهيلات الإسكان التي يقدمها صاحب العمل وغير ذلك من المزايا أو خدمات حسب المعدلات أو النسب المئوية المتفق عليها بين الطرفين.
6- كل دين يستوفى تنفيذاً لحكم قضائي.
7- المبالغ التي تفرض على العامل بسبب مخالفته لأحكام النظام الداخلي للمؤسسة أو لعقد العمل أو مقابل ما أتلفه من المواد والأدوات بسبب إهماله أو أخطائه وذلك وفق الأحكام الخاصة المنصوص عليها في قانون العمل.
المادة (47) من قانون العمل.",Jordanian Labor Law No. 8 of 1996,46,Wages and Compensation,Medium,
Q036,كيف يتم احتساب الأجر عن العمل الإضافي للعامل ؟,"أ- إذا اشتغل العامل في أيام العطل الأسبوعية أو أيام الأعياد الدينية أو العطل الرسمية، فيتقاضى لقاء عمله عن ذلك اليوم أجراً إضافياً لا يقل عن (150٪) من أجره المعتاد، المادة (59/أ) من قانون العمل.
ب- إذا اشتغل العامل في غير أيام عطلته الأسبوعية وفي غير أيام الأعياد الدينية أو في غير أيام العطل الرسمية فيتقاضى العامل عن العمل الإضافي أجراً لا يقل عن (125٪) من أجره المعتاد، المادة (59/ب) من قانون العمل.",Jordanian Labor Law No. 8 of 1996,46,Wages and Compensation,Easy,
Q037,ما هي الحالات التي يجوز فيها لصاحب العمل تشغيل العامل أكثر من ساعات العمل اليومية أو الأسبوعية ؟,"1- القيام بأعمال الجرد السنوي للمؤسسة وإعداد الميزانية والحسابات الختامية والاستعداد للبيع بأثمان مخفضة بشرط أن لا يزيد عدد الأيام التي تنطبق عليها أحكام هذه الفقرة على ثلاثين يوماً في السنة، وأن لا تزيد ساعات العمل الفعلية على عشر ساعات في كل يوم فيها.
2- من أجل تلافي وقوع خسارة في البضائع أو أية مادة تتعرض للتلف أو لتجنب مخاطر عمل فني أو من أجل تسليم مواد معينة أو تسليمها أو نقلها بشرط ألا تزيد عدد الأيام التي تنطبق عليها أحكام هذه الفقرة على ثلاثين يوماً في السنة الواحدة.
المادة (57) من قانون العمل المعدلة بالقانون رقم 14 لسنة 2019.",Jordanian Labor Law No. 8 of 1996,57,Occupational Safety and Health,Medium,
Q038,ما هي شروط استحقاق العامل للتعويض (المنصوص عليه في قانون العمل) عن إصابة العمل المؤدية إلى وفاة العامل أو عجزه عجزاً يحول دون استمراره في العمل ؟,"1- ألا يكون العامل خاضعاً لأحكام قانون الضمان الاجتماعي.
2- أن تؤدي الإصابة إلى وفاة العامل أو عجزه الكلي.
3- أن لا يسقط حق العامل في التعويض لتوافر إحدى الحالات التي نصت عليها المادة (94/أ) من قانون العمل وهي:
أ- إذا نشأت الإصابة عن فعل متعمد أو عن خطأ أو إهمال جسيمين من المصاب ويستثنى من هذا القيد حالة وفاة العامل أو إصابته بعجز دائم لا تقل نسبته عن (30٪).
ب- إذا كانت الإصابة ناشئة عن تأثيرات الخمر أو المخدرات أو المؤثرات العقلية ويستثنى من هذا القيد حالة وفاة العامل أو إصابته بعجز دائم لا تقل نسبته عن (30٪).
ج- إذا خالف العامل المصاب التعليمات المقررة بشأن علاجه من الإصابة أو بشأن الوقاية والأمن الصناعي المعلن عنها والواجب إتباعها وكان لهذه المخالفة أثر في وقوع الإصابة ويستثنى من هذا القيد حالة وفاة العامل أو إصابته بعجز دائم لا تقل نسبته عن (30٪).
المواد (86) و(90) و(94) من قانون العمل.",Jordanian Labor Law No. 8 of 1996,90,Disability and Survivor Benefits,Hard,
Q039,ما هي الالتزامات المقررة على صاحب العمل عند إصابة العامل بإصابة عمل أدت إلى وفاته أو ألحقت به ضرراً جسمانياً حال دون استمراره في العمل؟,"1- نقل المصاب إلى مستشفى أو أي مركز طبي.
2- تبليغ الجهات الأمنية المختصة بالحادث.
3- إرسال إشعار إلى الوزارة بذلك خلال مدة لا تزيد على 48 ساعة من وقوع الحادث.
4- دفع نفقات نقل المصاب إلى المستشفى أو المركز الطبي.
5- دفع التعويض النقدي المنصوص عليه في قانون العمل للعامل.
المادتان (87) و(90) من قانون العمل.",Jordanian Labor Law No. 8 of 1996,87,Disability and Survivor Benefits,Medium,
Q040, هو مقدار التعويض الواجب على صاحب العمل دفعه للعامل إذا نشأ عن إصابة العمل وفاة العامل غير المشترك في الضمان الاجتماعي أو عجزه الكلي ؟,"يقدر التعويض بما يساوي أجر ألف ومائتي يوم على أن لا يتجاوز التعويض خمسة آلاف دينار ولا يقل عن ألفي دينار.
المادة (90/أ) من قانون العمل.",Jordanian Labor Law No. 8 of 1996,90,Disability and Survivor Benefits,Easy,
Q041,ما هو مقدار التعويض الواجب على صاحب العمل دفعه للعامل إذا نشأ عن إصابة العمل عجز العامل عجزاً جزئياً ؟,"أ- إذا كان العامل المصاب يعالج خارج المستشفى فيستحق بدلاً يومياً يعادل (75٪) من معدل أجره اليومي اعتباراً من اليوم الذي وقعت فيه الإصابة.
ب- إذا كان العامل المصاب يعالج لدى أحد مراكز العلاج المعتمدة فيستحق بدلاً يومياً يعادل (65٪) من معدل أجره اليومي اعتباراً من اليوم الذي وقعت فيه الإصابة.
المادة (90/ب) من قانون العمل.",Jordanian Labor Law No. 8 of 1996,90,Disability and Survivor Benefits,Medium,
Q042,ما هي مدة سماع المطالبة بالتعويض عن إصابة العمل ؟,لا يقبل الطلب بالتعويض عن أية إصابة عمل ما لم يقدم إلى المفوض خلال سنتين من تاريخ وقوعها أو تاريخ وفاة العامل ما لم يكن هناك عذر مشروع يقبله المفوض، المادة (93) من قانون العمل.,Jordanian Labor Law No. 8 of 1996,93,Disability and Survivor Benefits,Easy,
Q043,ما هي الحالة التي يجوز فيها الحجز على التعويض عن إصابة العمل ؟,دين النفقة و بما لا يتجاوز ثلث مبلغ التعويض، المادة (95) عمل,Jordanian Labor Law No. 8 of 1996,90,Disability and Survivor Benefits,Easy,
Q044,ما هي الحقوق التي يرتبها قانون العمل والتي تنفرد بها المرأة العاملة؟,"1- إجازة الأم لرعاية أطفالها: وتمنح للمرأة التي تعمل في مؤسسة تستخدم عشرة عمال فأكثر وقدرها لا تزيد على سنة ودون أجر للتفرغ لتربية أطفالها، المادة (67) من قانون العمل.
2- إجازة الأمومة: وتمنح للمرأة ومدتها عشرة أسابيع مدفوعة الأجر على أن لا تقل المدة التي تقع من هذه الإجازة بعد الوضع عن ستة أسابيع، المادة (70) من قانون العمل.
3- أجاز القانون للمرأة العاملة – بعد انتهاء إجازة الأمومة – أن تأخذ خلال سنة من تاريخ الولادة فترة أو فترات مدفوعة الأجر بقصد إرضاع مولودها الجديد لا يزيد مجموعها على الساعة في اليوم الواحد، المادة (71) من قانون العمل.
4- حظر القانون على صاحب العمل إنهاء خدمة المرأة العاملة الحامل أو توجيه إشعار لإنهاء خدمتها ابتداءً من الشهر السادس من حملها، أو خلال إجازة الأمومة، المادة (27/أ/1) من قانون العمل.",Jordanian Labor Law No. 8 of 1996,141,Child and Female Labour,Hard,
Q045,ما هي شروط التزام صاحب العمل بتهيئة مكان مناسب لأطفال العاملين ؟,"1- أن يكون لدى العمال ما لا يقل عن خمسة عشر طفلاً لا تزيد أعمارهم على خمس سنوات.
2- أن يكون الأطفال في عهدة مربية مؤهلة أو أكثر لرعايتهم.
3- أن يكون العمال يعملون في مكان واحد.
4- المادة (72) من قانون العمل المعدلة بالقانون رقم 14 لسنة 2019.",Jordanian Labor Law No. 8 of 1996,72,Child and Female Labour,Medium,
Q046, متى تبدأ مدة مرور الزمان (التقادم) المانع من سماع المطالبة بالأجر عن ساعات العمل الإضافية في أيام العمل العادية ؟,من وقت نشوء سبب المطالبة بها (من وقت استحقاق ميعاد دفعه بأداء العمل)، وتحكم المحكمة بهذا الأجر عن آخر سنتين سابقتين على رفع الدعوى، المواد (138/ب) و(59/أ) و(46/أ) من قانون العمل.,Jordanian Labor Law No. 8 of 1996,138,Wages and Compensation,Easy,
Q047,متى تبدأ مدة مرور الزمان (التقادم) المانع من سماع المطالبة بالأجر عن العمل الإضافي في أيام العطل الأسبوعية أو الجمع؟,من وقت نشوء سبب المطالبة بها (من وقت استحقاق ميعاد دفعه بأداء العمل)، وتحكم المحكمة بهذا الأجر عن آخر سنتين سابقتين على رفع الدعوى، المواد (138/ب) و(59/ب) و(46/أ) من قانون العمل.,Jordanian Labor Law No. 8 of 1996,59,Wages and Compensation,Easy,
Q048, متى تبدأ مدة مرور الزمن (التقادم) المانع من سماع المطالبة بالأجر عن العمل الإضافي في أيام الأعياد الدينية و العطل الرسمية ؟,من وقت نشوء سبب المطالبة بها (من وقت استحقاق ميعاد دفعه بأداء العمل)، وتحكم المحكمة بهذا الأجر عن آخر سنتين سابقتين على رفع الدعوى، المواد (138/ب) و(59/ب) و(46/أ) من قانون العمل.,Jordanian Labor Law No. 8 of 1996,59,Wages and Compensation,Easy,
Q049,متى تبدأ مدة مرور الزمان (التقادم) المانع من سماع المطالبة بالأجور ؟,من وقت نشوء سبب المطالبة بها (من وقت استحقاق ميعاد دفعه بأداء العمل)، وتحكم المحكمة بهذا الأجر عن آخر سنتين سابقتين على رفع الدعوى، المادتان (138/ب) و(46/أ) من قانون العمل.,Jordanian Labor Law No. 8 of 1996,138,Wages and Compensation,Easy,
Q050,متى تبدأ مدة مرور الزمان (التقادم) المانع من سماع المطالبة بكل من التعويض عن الفصل التعسفي وبدل الإشعار ومكافأة نهاية الخدمة وباقي أجور مدة العقد المحدد المدة والأجر عن أيام الإجازات السنوية التي لم يستعملها العامل (المدعي)؟,من تاريخ انتهاء عقد العمل، المواد (138/ب) و(25) و(32) و(26/أ) و(63) من قانون العمل,Jordanian Labor Law No. 8 of 1996,108,Termination and Severance,Easy,
Q051,متى تبدأ مدة مرور الزمان (التقادم) المانع من سماع الدعوى المقامة من صاحب العمل ضد العامل لمطالبته بالتعويض عن ترك العامل العمل قبل انتهاء مدة عقد العمل المحدد المدة في غير الحالات المنصوص عليها في المادة (29/أ) من قانون العمل؟,من تاريخ انتهاء عقد العمل، المادتان (138/ب) و(26/ب) من قانون العمل,Jordanian Labor Law No. 8 of 1996,26,Labor Disputes and Arbitration,Easy,
Q052,متى يبدأ حساب مدة التقادم ؟,لا يحسب اليوم الأول، ويبدأ حسابها من اليوم التالي، المادة (456) مدني,Jordanian Labor Law No. 8 of 1996,32,Labor Disputes and Arbitration,Medium,
Q053,هل يحق للمحكمة إثارة الدفع بمرور الزمان المانع من سماع المطالبة بالحقوق العمالية من تلقاء نفسها ؟,لا يحق للمحكمة إثارة الدفع بمرور الزمان المانع من سماع الدعوى من تلقاء نفسها، بل يجب أن يكون ذلك بناء على طلب من المدعى عليه، المادة (464/1) من القانون المدني.,Jordanian Labor Law No. 8 of 1996,126,Labor Disputes and Arbitration,Easy,
Q054,ما هي الحالة الوحيدة التي يحق فيها للمحكمة التمسك بمرور الزمن من تلقاء نفسها في الدعاوى العمالية ؟,المطالبة بالأجر عن أيام الإجازات السنوية التي لم يستعملها العامل، إذ يسقط حق العامل في الأجر عن أيام الإجازات السنوية فيما يزيد على سنتين سابقتين على انتهاء عقد العمل دون دفع من المدعى عليه أو وكيله، المادة (61/ج) من قانون العمل.,Jordanian Labor Law No. 8 of 1996,126,Labor Disputes and Arbitration,Easy,
Q055,ما هو مقدار التعويض الذي تحكم به المحكمة على العامل في حال إنهائه عقد العمل المحدد المدة بصورة غير مشروعة قبل انتهاء مدته ؟,يجب أن لا يتجاوز مبلغ التعويض الذي تحكم به المحكمة على العامل على أجر نصف شهر عن كل شهر من المدة المتبقية من العقد، المادة (26/ب) من قانون العمل.,Jordanian Labor Law No. 8 of 1996,26,Termination and Severance,Easy,
Q056, ما حكم القانون في مطالبة صاحب العمل بالشرط الجزائي الوارد في عقد العمل في مواجهة العامل في حال ترك العامل عقد العمل المحدد المدة قبل انتهاء مدته في غير الحالات المنصوص عليها في المادة (29) من قانون العمل ؟,"يجب التفريق بين حالتين:
الأولى: إذا كانت قيمة الشرط الجزائي تزيد على التعويض القانوني الذي نصت عليه المادة (26/ب) من قانون العمل، فيجب على المحكمة أن لا تقضي بما يزيد على التعويض المنصوص عليه في المادة (26/ب) من قانون العمل سنداً لنص المادة (4/ب) من القانون ذاته التي تنص على بطلان كل شرط في عقد أو اتفاق يتنازل بموجبه عامل عن أي حق من الحقوق التي يمنحها إياه هذا القانون.
الثانية: إذا كانت قيمة الشرط الجزائي تقل عن التعويض القانوني الذي نصت عليه المادة (26/ب) من قانون العمل، فيجب على المحكمة أن تقضي بقيمة الشرط الجزائي فقط سنداً لنص المادة (4/أ) من القانون ذاته التي تنص على تطبيق الشرط الأفضل للعامل؛ كون الشرط الجزائي أفضل للعامل من التعويض المنصوص عليه في المادة (26/ب) من قانون العمل.",Jordanian Labor Law No. 8 of 1996,26,Labor Disputes and Arbitration,Hard,
Q057,هل يملك العامل الذي تم فصله من العمل تعسفياً وبصورة مخالفة لأحكام قانون العمل أن يطلب من المحكمة إعادته إلى عمله الأصلي ؟ وما هي المدة القانونية لتقديم مثل هذه الدعوى ؟ وما هي المحكمة المختصة بنظرها ؟,نعم يحق للعامل الذي تم فصله من العمل تعسفياً وبصورة مخالفة لأحكام قانون العمل أن يطلب من المحكمة إعادته إلى عمله الأصلي، ومدة سماع هذه الدعوى هي ستون يوماً تلي تاريخ فصله من العمل، وتختص محكمة الصلح بنظر هذه الدعوى، المادتان (25) و(137/أ) من قانون العمل.,Jordanian Labor Law No. 8 of 1996,25,Labor Disputes and Arbitration,Medium,
Q058,ما هي مدة تقادم دعوى المطالبة بالتعويض عن الفصل التعسفي في عقود العمل غير المحددة المدة ؟," ستان اثنتان، أما مدة الستين يوماً الواردة في المادة (25) من قانون العمل، فهي مدة مقررة لسماع دعوى إعادة العامل إلى عمله فقط، وهذا ما استقر عليه اجتهاد محكمة التمييز.
- تمييز حقوق (511/2001) هيئة عامة، تاريخ 3/9/2001.
- تمييز حقوق (1423/2009)، تاريخ 10/11/2009.
- تمييز حقوق (2843/2008)، تاريخ 20/7/2008، منشورات عدالة.",Jordanian Labor Law No. 8 of 1996,108,Labor Disputes and Arbitration,Easy,
Q059, هل تعتبر مدة الإشعار من مدة خدمة العامل ؟,نعم، ويبقى عقد العمل ساري المفعول طوال مدة الإشعار، المادة (23/أ) من قانون العمل,Jordanian Labor Law No. 8 of 1996,23,Employment Contracts,Easy,
Q060,ما هي عقود العمل التي ينطبق فيها الإشعار بإنهاء العقد؟,عقود العمل غير المحددة المدة، المادة (23/1/أ) من قانون العمل,Jordanian Labor Law No. 8 of 1996,40,Employment Contracts,Easy,
Q061,متى يجوز سحب الإشعار ؟,بموافقة العامل وصاحب العمل، المادة (23/1/أ) من قانون العمل,Jordanian Labor Law No. 8 of 1996,23,Employment Contracts,Easy,
Q062,ما هي المدة الدنيا للإشعار بإنهاء عقد العمل؟, شهر واحد، المادة (23/1/أ) من قانون العمل,Jordanian Labor Law No. 8 of 1996,26,Employment Contracts,Easy,
Q063,ما هي الحقوق التي يحق للعامل أو ورثته المطالبة بها بعد انتهاء عقد العمل ؟,"1- مكافأة نهاية الخدمة إذا لم يكن العامل خاضعاً لأحكام قانون الضمان الاجتماعي، المادة (32) من قانون العمل.
2- التعويض عن الفصل التعسفي إذا تم فصله فصلاً تعسفياً وبدل الإشعار، المادة (25) من قانون العمل بالنسبة إلى عقود العمل غير المحددة المدة.
3- الأجور التي تستحق حتى انتهاء المدة المتبقية من عقد العمل في حال فصل صاحب العمل العامل قبل انتهاء مدته أو إذا ترك العامل العمل لأحد الأسباب الواردة في المادة (29) من قانون العمل، المادة (26/أ) من قانون العمل.
4- الأجور غير المدفوعة.
5- الأجر عن أيام الإجازات السنوية التي لم يستعملها العامل خلال فترة عمله، المادتان (61) و(63) من قانون العمل.
6- الأجر عن العمل الإضافي في غير أيام العطل الأسبوعية وأيام الأعياد الدينية والعطل الرسمية، المادة (59/أ) من قانون العمل.
7- الأجر عن العمل الإضافي في أيام العطل الأسبوعية وأيام الأعياد الدينية والعطل الرسمية، المادة (59/ب) من قانون العمل.
8- التعويض عن إصابة العمل المؤدية إلى وفاة العامل أو عجزه عجزاً كلياً إذا لم يكن خاضعاً لأحكام قانون الضمان الاجتماعي، المادتان (86) و(90/أ) من قانون العمل.
9- البدلات اليومية المستحقة في حالة إصابة العمل إصابة أدت إلى عجزه عجزاً مؤقتاً إذا لم يكن مشمولاً بالضمان الاجتماعي، المادتان (86) و(90/ب) من قانون العمل.
10- الأجر عن إجازة الأمومة، المادة (70) من قانون العمل.
11- أجر يوم العطلة الأسبوعية للعامل الذي يعمل على أساس يومي أو أسبوعي، المادة (60/ج) من قانون العمل.",Jordanian Labor Law No. 8 of 1996,26,Termination and Severance,Hard,
Q064,ما هي القيود التي أوردها قانون العمل على تشغيل الحدث (الشخص الذي لم يكمل الثامنة عشرة من عمره) ؟,"1- لا يجوز تشغيل الحدث الذي لم يكمل السادسة عشرة من عمره مع مراعاة الأحكام المتعلقة بالتدريب المهني، المادة (74) من قانون العمل.
2- لا يجوز تشغيل الحدث في الأعمال الخطرة أو المرهقة أو المضرة بالصحة، المادة (75) من قانون العمل.
3- لا يجوز تشغيل الحدث أكثر من ست ساعات في اليوم الواحد، على أن يعطى فترة للراحة لا تقل عن ساعة واحدة بعد عمل أربع ساعات متصلة، المادة (75/أ) من قانون العمل.
4- لا يجوز تشغيل الحدث بين الساعة الثامنة مساء والسادسة صباحاً، المادة (75/ب) من قانون العمل.
5- لا يجوز تشغيل الحدث في أيام الأعياد الدينية والعطل الرسمية وأيام العطلة الأسبوعية، المادة (75/ج) من قانون العمل.
6- لا يجوز استخدام أي حدث قبل الحصول على الوثائق التالية من وليه:
أ- صورة مصدقة عن شهادة الميلاد.
ب- شهادة بلياقة الحدث الصحية للعمل المطلوب صادرة عن طبيب مختص ومصدقة من وزارة الصحة.
ج- موافقة ولي أمر الحدث الخطية على العمل في المؤسسة.
ويجب على صاحب العمل حفظ هذه المستندات في ملف خاص للحدث مع بيانات كافية عن محل إقامته وتاريخ استخدامه والعمل الذي استخدم فيه وأجره وإجازاته.
وهذا ما نصت عليه المادة (76) من قانون العمل.",Jordanian Labor Law No. 8 of 1996,74,Child and Female Labour,Hard,
Q065,هل يستحق العامل الذي ترك العمل بالاستناد إلى إحدى الحالات المنصوص عليها في المادة (29) من قانون العمل تعويضاً عن الفصل التعسفي ؟,"نعم، المادة (29) عمل.
- تمييز حقوق (4509/2012) تاريخ 6/3/2013.
- وتمييز حقوق (3604/2012) تاريخ 10/3/2013 منشورات مركز عدالة.",Jordanian Labor Law No. 8 of 1996,26,Termination and Severance,Medium,
Q066,ما هي التزامات صاحب العمل ؟,"1- أن يوفر كل أسباب الأمن والسلامة في منشأته وأن يهيء كل ما يلزم لتمكين العامل من تنفيذ التزاماته.
2- أن يعنى بصلاحية الآلات والأجهزة الخاصة بالعمل حتى لا يقع منها ضرر.
3- أن يراعي مقتضيات اللياقة والآداب في علاقته بالعامل.
4- أن يعطي العامل في نهاية خدمته شهادة بنوع عمله وتاريخ مباشرته وانتهائه ومقدار أجره وكل ما كان يتقاضاه من إضافات أخرى.
5- أن يرد للعامل كافة الأوراق الخاصة به.
6- دفع الأجور للعامل وسائر الحقوق العمالية المنصوص في قانون العمل وعقد العمل والنظام الداخلي.
المادة (822) مدني ونصوص قانون العمل ذات العلاقة.",Jordanian Labor Law No. 8 of 1996,7,Employment Contracts,Medium,
Q067,ما هي التزامات العامل ؟,"1. تأدية العمل بنفسه، وأن يبذل في تأديته عناية الشخص العادي، وأن يلتزم بأوامر صاحب العمل المتعلقة بتنفيذ العمل المتفق عليه، وذلك ضمن الحدود التي لا تعرض العامل للخطر أو تخالف أحكام القوانين المعمول بها أو الآداب العامة.
2. المحافظة على أسرار صاحب العمل الصناعية والتجارية وأن لا يفشيها بأية صورة من الصور ولو بعد انقضاء عقد العمل وفقاً لما يقتضيه الاتفاق أو العرف.
3. الحرص على حفظ الأشياء المسلمة إليه لتأدية العمل ومنها أدوات العمل والمواد وسائر اللوازم الخاصة بعمله.
4. الخضوع للفحوصات الطبية اللازمة التي تقتضي طبيعة العمل إجرائها للالتحاق بالعمل أوبعده ذلك للتحقق من خلوه من الأمراض المهنية والسارية.
المادة (19) من قانون العمل.",Jordanian Labor Law No. 8 of 1996,7,Employment Contracts,Medium,
Q068,ما هي القواعد الاستثنائية التي وضعها المشرع في قانون العمل بشأن الجرائم المنصوص عليها فيه وتخالف القواعد العامة الواردة في قانون العقوبات رقم 16 لسنة 1960 وتعديلاته ؟,"1- لا يجيز المشرع تخفيض عقوبة الغرامة عن حدها الأدنى في أية حالة من الحالات أو لأي سبب من الأسباب.
المواد (9/ج) و(77/أ) و(84/د) و(133/أ) و(133/ب) من قانون العمل.
وهذه المواد تعد استثناء على نص المادة (100) من قانون العقوبات التي تجيز للقاضي تخفيض عقوبة الغرامة إلى حدها الأدنى المبين في المادة (22) من قانون العقوبات وهو خمسة دنانير.
2- وجوب مضاعفة عقوبة الغرامة في حال تكرار المخالفة المنصوص عليها في قانون العمل.
المواد (12/هـ/1) و(29/ب) و(53) و(77/ج) و(84/د) و(119/ب) و(133/أ) و(133/ب) من قانون العمل.
وهذه المواد تعد استثناء على نص المادة (102) من قانون العقوبات التي لا تجيز مضاعفة العقوبة في حال التكرار في الجنح إلا في حال الحكم بعقوبة الحبس.
3- جمع الغرامات المحكوم بها.
المواد (11/ب) و(12/هـ/3) و(139) من قانون العمل المعجلة جميعها بالقانون رقم 10 لسنة 2023.",Jordanian Labor Law No. 8 of 1996,141,Termination and Severance,Hard,
Q069,ما هي الحقوق العمالية التي تزيد بزيادة مدة عمل العامل؟,"1. التعويض عن الفصل التعسفي في العقد غير المحدد المدة: إذ تحكم المحكمة للعامل المفصول فصلاً تعسفياً بتعويض يعادل مقداره أجر نصف شهر عن كل سنة من سنوات خدمة العامل على أن لا يقل عن أجر شهرين، المادة (25) من قانون العمل.
2. مكافأة نهاية الخدمة: إذ يحق للعامل تقاضي مكافأة نهاية الخدمة بمعدل أجر شهر عن كل سنة من خدمته الفعلية ويعطى عن كسور السنة مكافأة نسبية، المادة (32) من قانون العمل.
3. الإجازة السنوية: إذ تصبح مدة الإجازة السنوية واحداً وعشرين يوماً إذا أمضى العامل خمس سنوات متصلة لدى صاحب العمل نفسه، المادة (61/أ) من قانون العمل.
4. الأجر عن أيام الإجازات السنوية التي لم يستعملها العامل: إذ يستحق العامل أجراً عن الإجازة السنوية بواقع واحد وعشرين يوماً في السنة إذا أمضى العامل في الخدمة لدى صاحب العمل نفسه خمس سنوات متصلة.
المادتان (61/أ) و(63) من قانون العمل.",Jordanian Labor Law No. 8 of 1996,35,Employment Contracts,Medium,
Q070,هل تحتسب أيام العطل الرسمية والأعياد الرسمية وأيام العطلة الأسبوعية من الإجازة السنوية؟,لا، المادة (61/أ) من قانون العمل,Jordanian Labor Law No. 8 of 1996,61,Wages and Compensation,Easy,
Q071,كيف يحسب أجر العامل لحساب مكافأة نهاية الخدمة إذا كان الأجر كله أو بعضه يحسب على أساس العمولة أو القطعة؟,المتوسط الشهري لما تقاضاه العامل فعلاً خلال الاثني عشر شهراً السابقة لانتهاء خدمته، وإذا لم تبلغ مدة خدمته السنة، فالمتوسط الشهري لمجموع خدمته، المادة (32) من قانون العمل,Jordanian Labor Law No. 8 of 1996,32,Retirement and Pension,Easy,
